hard-0024,18,SAT,Dynamic largest individual sum,876,760,758,209.91119194030762
hard-0025,18,SAT,Random,24,0,0,28.73542356491089
hard-0025,18,SAT,Two-Sided Jeroslow-Wang,23,2,0,26.42751145362854
hard-0025,18,SAT,Dynamic largest individual sum,545,450,448,132.8982195854187
hard-0026,18,SAT,Random,24,4,0,26.615777254104614
hard-0026,18,SAT,Two-Sided Jeroslow-Wang,13,1,0,35.00114727020264
hard-0026,18,SAT,Dynamic largest individual sum,2150,2053,2050,568.0104851722717
hard-0027,18,SAT,Random,24,0,0,21.83298659324646
hard-0027,18,SAT,Two-Sided Jeroslow-Wang,11,0,0,21.33202886581421
hard-0027,18,SAT,Dynamic largest individual sum,798,747,745,177.63256168365479
hard-0028,18,SAT,Random,59,11,8,79.5600938796997
hard-0028,18,SAT,Two-Sided Jeroslow-Wang,22,3,0,30.479137420654297
hard-0028,18,SAT,Dynamic largest individual sum,6946,6837,6834,1630.0291950702667
hard-0029,18,SAT,Random,36,1,0,16.475660800933838
hard-0029,18,SAT,Two-Sided Jeroslow-Wang,16,1,0,13.117100238800049
hard-0029,18,SAT,Dynamic largest individual sum,2025,1911,1908,246.54062175750732
hard-0030,18,SAT,Random,15,1,0,11.665335416793823
hard-0030,18,SAT,Two-Sided Jeroslow-Wang,7,0,0,10.762122392654419
hard-0030,18,SAT,Dynamic largest individual sum,5024,4984,4982,492.14084935188293
hard-0031,18,SAT,Random,36,1,0,20.54262065887451
hard-0031,18,SAT,Two-Sided Jeroslow-Wang,35,11,9,21.278558015823364
hard-0031,18,SAT,Dynamic largest individual sum,3234,3137,3133,483.61515164375305
hard-0032,18,SAT,Random,30,3,0,17.531165599822998
hard-0032,18,SAT,Two-Sided Jeroslow-Wang,19,1,0,15.366553783416748
hard-0032,18,SAT,Dynamic largest individual sum,4523,4419,4416,594.0388677120209
hard-0033,18,SAT,Random,10,0,0,10.750128507614136
hard-0033,18,SAT,Two-Sided Jeroslow-Wang,8,2,0,10.82825493812561
hard-0033,18,SAT,Dynamic largest individual sum,2655,2609,2606,291.3242814540863
hard-0034,18,SAT,Random,203,181,180,102.6180624961853
hard-0034,18,SAT,Two-Sided Jeroslow-Wang,17,3,0,13.54160737991333
hard-0034,18,SAT,Dynamic largest individual sum,2697,2609,2606,390.82876205444336
sudoku-0210,25,SAT,Random,2,0,0,12.499369144439697
sudoku-0210,25,SAT,Two-Sided Jeroslow-Wang,1,0,0,12.576922416687012
sudoku-0210,25,SAT,Dynamic largest individual sum,6,2,1,14.064493179321289
