Puzzle,Number_of_given_elements,Result,Heuristics,Splits,Backtracks,Time
sudoku-0027,24,SAT,Two-Sided Jeroslow-Wang,9,1,10.74312162399292
sudoku-0027,24,SAT,Dynamic largest individual sum,433,358,31.498599529266357
sudoku-0028,24,SAT,Random,7,0,9.023324728012085
sudoku-0028,24,SAT,Two-Sided Jeroslow-Wang,1,0,8.688164710998535
sudoku-0028,24,SAT,Dynamic largest individual sum,153,117,13.483283758163452
sudoku-0029,24,SAT,Random,14,0,10.1528799533844
sudoku-0029,24,SAT,Two-Sided Jeroslow-Wang,11,0,10.489963293075562
sudoku-0029,24,SAT,Dynamic largest individual sum,288,223,22.31752347946167
sudoku-0030,24,SAT,Random,2,0,8.859747648239136
sudoku-0030,24,SAT,Two-Sided Jeroslow-Wang,5,1,9.01839828491211
sudoku-0030,24,SAT,Dynamic largest individual sum,84,49,11.059392213821411
sudoku-0031,24,SAT,Random,10,0,9.420195817947388
sudoku-0031,24,SAT,Two-Sided Jeroslow-Wang,8,1,9.694356918334961
sudoku-0031,24,SAT,Dynamic largest individual sum,496,458,25.123213052749634
sudoku-0032,24,SAT,Random,15,0,9.850388288497925
sudoku-0032,24,SAT,Two-Sided Jeroslow-Wang,8,1,9.866498470306396
sudoku-0032,24,SAT,Dynamic largest individual sum,1203,1151,52.499202489852905
sudoku-0033,24,SAT,Random,12,0,9.700807571411133
sudoku-0033,24,SAT,Two-Sided Jeroslow-Wang,1,0,8.945825338363647
sudoku-0033,24,SAT,Dynamic largest individual sum,329,280,24.84816813468933
sudoku-0034,24,SAT,Random,36,30,13.284377574920654
sudoku-0034,24,SAT,Two-Sided Jeroslow-Wang,6,1,9.823723554611206
sudoku-0034,24,SAT,Dynamic largest individual sum,136,75,15.5264310836792
sudoku-0035,24,SAT,Random,27,1,11.439994096755981
sudoku-0035,24,SAT,Two-Sided Jeroslow-Wang,12,0,9.771911859512329
sudoku-0035,24,SAT,Dynamic largest individual sum,1169,1126,71.6902768611908
sudoku-0036,24,SAT,Random,13,0,9.610266208648682
sudoku-0036,24,SAT,Two-Sided Jeroslow-Wang,9,0,9.285608768463135
sudoku-0036,24,SAT,Dynamic largest individual sum,113,61,13.455001592636108
sudoku-0037,24,SAT,Random,11,0,9.672242164611816
sudoku-0037,24,SAT,Two-Sided Jeroslow-Wang,9,0,9.436715602874756
sudoku-0037,24,SAT,Dynamic largest individual sum,168,127,15.55008864402771
sudoku-0038,24,SAT,Random,26,6,10.753591060638428
sudoku-0038,24,SAT,Two-Sided Jeroslow-Wang,1,0,9.03965950012207
sudoku-0038,24,SAT,Dynamic largest individual sum,500,450,27.97596502304077
sudoku-0039,24,SAT,Random,10,0,9.487886667251587
sudoku-0039,24,SAT,Two-Sided Jeroslow-Wang,14,1,10.295323371887207
sudoku-0039,24,SAT,Dynamic largest individual sum,461,401,30.353578090667725
sudoku-0040,24,SAT,Random,14,0,11.014816761016846
sudoku-0040,24,SAT,Two-Sided Jeroslow-Wang,17,1,10.931235551834106
sudoku-0040,24,SAT,Dynamic largest individual sum,1984,1919,107.74145841598511
sudoku-0041,24,SAT,Random,6,1,8.980587720870972
sudoku-0041,24,SAT,Two-Sided Jeroslow-Wang,2,0,8.781208038330078
sudoku-0041,24,SAT,Dynamic largest individual sum,20,11,9.133577346801758
sudoku-0042,24,SAT,Random,5,1,8.975565433502197
sudoku-0042,24,SAT,Two-Sided Jeroslow-Wang,3,0,8.729712963104248
sudoku-0042,24,SAT,Dynamic largest individual sum,85,57,10.964879989624023
sudoku-0043,24,SAT,Random,5,0,8.777862071990967
sudoku-0043,24,SAT,Two-Sided Jeroslow-Wang,6,1,8.877318859100342
sudoku-0043,24,SAT,Dynamic largest individual sum,103,68,11.230565071105957
sudoku-0044,24,SAT,Random,1,0,9.270773649215698
sudoku-0044,24,SAT,Two-Sided Jeroslow-Wang,18,9,10.306833267211914
sudoku-0044,24,SAT,Dynamic largest individual sum,178,146,14.252265453338623
sudoku-0045,24,SAT,Random,19,0,10.87219500541687
sudoku-0045,24,SAT,Two-Sided Jeroslow-Wang,13,0,10.638545751571655
sudoku-0045,24,SAT,Dynamic largest individual sum,202,133,19.644742250442505
sudoku-0046,24,SAT,Random,26,14,10.272252321243286
sudoku-0046,24,SAT,Two-Sided Jeroslow-Wang,10,2,8.917848348617554
sudoku-0046,24,SAT,Dynamic largest individual sum,157,139,14.343605756759644
sudoku-0047,24,SAT,Random,11,1,9.29954218864441
sudoku-0047,24,SAT,Two-Sided Jeroslow-Wang,2,0,8.76571249961853
sudoku-0047,24,SAT,Dynamic largest individual sum,82,59,11.313713312149048
sudoku-0048,24,SAT,Random,23,9,11.028792142868042
sudoku-0048,24,SAT,Two-Sided Jeroslow-Wang,10,2,9.8684983253479
sudoku-0048,24,SAT,Dynamic largest individual sum,822,790,41.914655923843384
sudoku-0049,24,SAT,Random,59,41,18.455767154693604
sudoku-0049,24,SAT,Two-Sided Jeroslow-Wang,23,9,11.386573791503906
sudoku-0049,24,SAT,Dynamic largest individual sum,417,340,31.145804166793823
sudoku-0050,24,SAT,Random,10,0,8.576616525650024
sudoku-0050,24,SAT,Two-Sided Jeroslow-Wang,6,1,8.531074047088623
sudoku-0050,24,SAT,Dynamic largest individual sum,59,36,9.269596815109253
sudoku-0051,24,SAT,Random,9,1,9.011895418167114
sudoku-0051,24,SAT,Two-Sided Jeroslow-Wang,3,0,8.555589199066162
sudoku-0051,24,SAT,Dynamic largest individual sum,127,97,11.193041324615479
sudoku-0052,24,SAT,Random,6,0,8.799839973449707
sudoku-0052,24,SAT,Two-Sided Jeroslow-Wang,4,0,8.562072038650513
sudoku-0052,24,SAT,Dynamic largest individual sum,74,41,10.628280878067017
sudoku-0053,24,SAT,Random,65,60,15.983708143234253
sudoku-0053,24,SAT,Two-Sided Jeroslow-Wang,3,1,9.151460409164429
sudoku-0053,24,SAT,Dynamic largest individual sum,728,711,37.580026149749756
sudoku-0054,24,SAT,Random,25,5,10.812053203582764
sudoku-0054,24,SAT,Two-Sided Jeroslow-Wang,8,0,9.499260663986206
sudoku-0054,24,SAT,Dynamic largest individual sum,641,572,42.99342942237854
sudoku-0055,24,SAT,Random,14,1,9.106428623199463
sudoku-0055,24,SAT,Two-Sided Jeroslow-Wang,9,0,9.244560480117798
sudoku-0055,24,SAT,Dynamic largest individual sum,783,750,42.55744743347168
sudoku-0056,24,SAT,Random,9,3,8.710628032684326
sudoku-0056,24,SAT,Two-Sided Jeroslow-Wang,9,7,8.665666818618774
sudoku-0056,24,SAT,Dynamic largest individual sum,64,33,9.643120288848877
sudoku-0057,24,SAT,Random,9,0,9.075153112411499
sudoku-0057,24,SAT,Two-Sided Jeroslow-Wang,9,0,9.074917078018188
sudoku-0057,24,SAT,Dynamic largest individual sum,227,186,14.755487442016602
sudoku-0058,24,SAT,Random,18,2,9.70950698852539
sudoku-0058,24,SAT,Two-Sided Jeroslow-Wang,6,0,8.770243167877197
sudoku-0058,24,SAT,Dynamic largest individual sum,561,517,35.72368025779724
sudoku-0059,24,SAT,Random,27,4,12.651293992996216
sudoku-0059,24,SAT,Two-Sided Jeroslow-Wang,6,1,9.271788358688354
sudoku-0059,24,SAT,Dynamic largest individual sum,154,75,18.604809045791626
sudoku-0060,24,SAT,Random,28,5,10.39644193649292
sudoku-0060,24,SAT,Two-Sided Jeroslow-Wang,6,0,9.280582189559937
sudoku-0060,24,SAT,Dynamic largest individual sum,605,565,35.34568691253662
sudoku-0061,24,SAT,Random,8,1,8.825143337249756
sudoku-0061,24,SAT,Two-Sided Jeroslow-Wang,4,0,8.442991495132446
sudoku-0061,24,SAT,Dynamic largest individual sum,96,65,11.495037078857422
sudoku-0062,24,SAT,Random,4,0,8.713808536529541
sudoku-0062,24,SAT,Two-Sided Jeroslow-Wang,4,0,8.487022876739502
sudoku-0062,24,SAT,Dynamic largest individual sum,117,90,10.66645884513855
sudoku-0063,24,SAT,Random,3,0,8.575855255126953
sudoku-0063,24,SAT,Two-Sided Jeroslow-Wang,3,0,8.510539293289185
sudoku-0063,24,SAT,Dynamic largest individual sum,36,11,8.85936975479126
sudoku-0064,24,SAT,Random,7,0,9.886167287826538
sudoku-0064,24,SAT,Two-Sided Jeroslow-Wang,8,0,9.403671979904175
sudoku-0064,24,SAT,Dynamic largest individual sum,361,299,27.550121545791626
sudoku-0065,24,SAT,Random,13,1,9.36700963973999
sudoku-0065,24,SAT,Two-Sided Jeroslow-Wang,6,0,9.00088357925415
sudoku-0065,24,SAT,Dynamic largest individual sum,550,502,30.455336332321167
sudoku-0066,24,SAT,Random,10,1,8.934839010238647
sudoku-0066,24,SAT,Two-Sided Jeroslow-Wang,2,0,8.714183568954468
sudoku-0066,24,SAT,Dynamic largest individual sum,76,45,10.37838077545166
sudoku-0067,24,SAT,Random,7,0,9.087891578674316
sudoku-0067,24,SAT,Two-Sided Jeroslow-Wang,7,1,9.264946937561035
sudoku-0067,24,SAT,Dynamic largest individual sum,1543,1506,70.79259014129639
sudoku-0068,24,SAT,Random,20,2,10.200239419937134
sudoku-0068,24,SAT,Two-Sided Jeroslow-Wang,1,0,8.675673723220825
sudoku-0068,24,SAT,Dynamic largest individual sum,1631,1570,79.07578802108765
sudoku-0069,24,SAT,Random,2,0,8.335291862487793
